# Real Imaginary
6.1294752041969029e+05 -5.2337868203049176e+05
6.1294752041969029e+05 5.2337868203049176e+05
6.2432716412580083e+05 -5.0975180177134031e+05
6.2432716412580083e+05 5.0975180177134031e+05
6.0804963524134783e+05 5.2906518693748082e+05
6.0804963524134783e+05 -5.2906518693748082e+05
6.1458900846457272e+05 5.2146335863679048e+05
6.1458900846457272e+05 -5.2146335863679048e+05
6.2272322264642699e+05 5.1172289387871762e+05
6.2272322264642699e+05 -5.1172289387871762e+05
6.1622851835099934e+05 -5.1953558662435156e+05
6.1622851835099934e+05 5.1953558662435156e+05
6.2111124045833934e+05 5.1368827312929172e+05
6.2111124045833934e+05 -5.1368827312929172e+05
6.1949109625584469e+05 -5.1564656270993518e+05
6.1949109625584469e+05 5.1564656270993518e+05
6.1786315265569196e+05 5.1759617059193907e+05
6.1786315265569196e+05 -5.1759617059193907e+05
6.0643356436035479e+05 5.3095786249217705e+05
6.0643356436035479e+05 -5.3095786249217705e+05
6.6064863151108788e+05 -4.6181044899695413e+05
6.6064863151108788e+05 4.6181044899695413e+05
6.0482115218774835e+05 -5.3285945740525913e+05
6.0482115218774835e+05 5.3285945740525913e+05
6.6220020373958698e+05 -4.5968794366747735e+05
6.6220020373958698e+05 4.5968794366747735e+05
6.0320542170424864e+05 -5.3477201859450131e+05
6.0320542170424864e+05 5.3477201859450131e+05
-2.7757023653561948e+05 -7.5684720784845599e+05
-2.7757023653561948e+05 7.5684720784845599e+05
6.6373505022223399e+05 -4.5755961394986784e+05
6.6373505022223399e+05 4.5755961394986784e+05
-8.0222720314531308e+05 7.9781424934860013e+04
-8.0222720314531308e+05 -7.9781424934860013e+04
6.0158023377677542e+05 -5.3669361051076639e+05
6.0158023377677542e+05 5.3669361051076639e+05
6.6525550712822773e+05 -4.5542492523072788e+05
6.6525550712822773e+05 4.5542492523072788e+05
6.6676318323708151e+05 4.5328376364910672e+05
6.6676318323708151e+05 -4.5328376364910672e+05
5.9994206037261547e+05 -5.3862052431773860e+05
5.9994206037261547e+05 5.3862052431773860e+05
8.0599725557274744e+05 -2.0982879404924650e+04
8.0599725557274744e+05 2.0982879404924650e+04
6.6825945186853758e+05 -4.5113630658369174e+05
6.6825945186853758e+05 4.5113630658369174e+05
-6.0533944017743552e+05 -5.3263449174766627e+05
-6.0533944017743552e+05 5.3263449174766627e+05
5.9828957692578866e+05 5.4054887796602934e+05
5.9828957692578866e+05 -5.4054887796602934e+05
6.6974531281211704e+05 4.4898278628858819e+05
6.6974531281211704e+05 -4.4898278628858819e+05
6.7122168808979692e+05 4.4682359921161848e+05
6.7122168808979692e+05 -4.4682359921161848e+05
-8.0264406010682392e+05 -7.7339844672856721e+04
-8.0264406010682392e+05 7.7339844672856721e+04
6.7268928541188221e+05 4.4465910817227070e+05
6.7268928541188221e+05 -4.4465910817227070e+05
5.9662293002682773e+05 5.4247558646973316e+05
5.9662293002682773e+05 -5.4247558646973316e+05
6.7414877376089070e+05 -4.4248977283898584e+05
6.7414877376089070e+05 4.4248977283898584e+05
-8.0291739407120435e+05 7.4930398387109861e+04
-8.0291739407120435e+05 -7.4930398387109861e+04
6.7560064245061355e+05 -4.4031597466553509e+05
6.7560064245061355e+05 4.4031597466553509e+05
5.9494289996433840e+05 5.4439830143246474e+05
5.9494289996433840e+05 -5.4439830143246474e+05
6.7704533205089823e+05 -4.3813815153614274e+05
6.7704533205089823e+05 4.3813815153614274e+05
-8.0230112991555594e+05 8.1705727199769215e+04
-8.0230112991555594e+05 -8.1705727199769215e+04
-8.0319321446392429e+05 7.2517745832190820e+04
-8.0319321446392429e+05 -7.2517745832190820e+04
6.7848311415545177e+05 -4.3595661012252298e+05
6.7848311415545177e+05 4.3595661012252298e+05
5.9325059957381943e+05 -5.4631541888217267e+05
5.9325059957381943e+05 5.4631541888217267e+05
6.7991418131615699e+05 -4.3377167920199176e+05
6.7991418131615699e+05 4.3377167920199176e+05
-8.0345611959496606e+05 7.0098731654133066e+04
-8.0345611959496606e+05 -7.0098731654133066e+04
5.9154718996809993e+05 -5.4822577141968883e+05
5.9154718996809993e+05 5.4822577141968883e+05
6.8133858653661795e+05 -4.3158353122964117e+05
6.8133858653661795e+05 4.3158353122964117e+05
-8.0370766578738496e+05 6.7674863023040918e+04
-8.0370766578738496e+05 -6.7674863023040918e+04
6.8275631268679583e+05 -4.2939233711387328e+05
6.8275631268679583e+05 4.2939233711387328e+05
5.8983389668913453e+05 -5.5012862250883388e+05
5.8983389668913453e+05 5.5012862250883388e+05
6.8416724833421584e+05 -4.2719811465400574e+05
6.8416724833421584e+05 4.2719811465400574e+05
-8.0394820847313921e+05 -6.5246359263046281e+04
-8.0394820847313921e+05 6.5246359263046281e+04
5.8811192722350347e+05 5.5202348546440492e+05
5.8811192722350347e+05 -5.5202348546440492e+05
6.8557125729300920e+05 4.2500089201728429e+05
6.8557125729300920e+05 -4.2500089201728429e+05
-8.0417805615361850e+05 -6.2813580707691028e+04
-8.0417805615361850e+05 6.2813580707691028e+04
5.8638252195594506e+05 5.5391022309297766e+05
5.8638252195594506e+05 -5.5391022309297766e+05
7.4057537132812839e+05 3.1973593746745464e+05
7.4057537132812839e+05 -3.1973593746745464e+05
6.8696816542656999e+05 4.2280055451126199e+05
6.8696816542656999e+05 -4.2280055451126199e+05
7.3957575789423659e+05 3.2204556623264827e+05
7.3957575789423659e+05 -3.2204556623264827e+05
7.4157779309447471e+05 3.1742305199268193e+05
7.4157779309447471e+05 -3.1742305199268193e+05
-8.0439751734766876e+05 6.0376813255989509e+04
-8.0439751734766876e+05 -6.0376813255989509e+04
7.3857920555701270e+05 3.2435565005762677e+05
7.3857920555701270e+05 -3.2435565005762677e+05
5.8464687080570566e+05 5.5578894556575804e+05
5.8464687080570566e+05 -5.5578894556575804e+05
7.4258126629455783e+05 -3.1510393343629455e+05
7.4258126629455783e+05 3.1510393343629455e+05
6.8835780330156197e+05 -4.2059703486199153e+05
6.8835780330156197e+05 4.2059703486199153e+05
7.3758411484390707e+05 -3.2666989241256320e+05
7.3758411484390707e+05 3.2666989241256320e+05
7.4358344185330847e+05 3.1277705408170231e+05
7.4358344185330847e+05 -3.1277705408170231e+05
-8.0460685170662263e+05 5.7936373710735126e+04
-8.0460685170662263e+05 -5.7936373710735126e+04
5.8290611330110172e+05 5.5766015672190639e+05
5.8290611330110172e+05 -5.5766015672190639e+05
7.4458203076869948e+05 3.1044186556738924e+05
7.4458203076869948e+05 -3.1044186556738924e+05
6.8974002344234125e+05 4.1839013751611830e+05
6.8974002344234125e+05 -4.1839013751611830e+05
-8.0480628803217807e+05 -5.5492496107321895e+04
-8.0480628803217807e+05 5.5492496107321895e+04
7.3658743433105713e+05 -3.2899063991035958e+05
7.3658743433105713e+05 3.2899063991035958e+05
7.4557522422672366e+05 3.0809870057786145e+05
7.4557522422672366e+05 -3.0809870057786145e+05
5.8116116231601860e+05 -5.5952465582099149e+05
5.8116116231601860e+05 5.5952465582099149e+05
-8.0499604228738567e+05 5.3045459424205597e+04
-8.0499604228738567e+05 -5.3045459424205597e+04
7.4656170515816379e+05 3.0574809460967762e+05
7.4656170515816379e+05 -3.0574809460967762e+05
6.9111467430474586e+05 4.1617973294066056e+05
6.9111467430474586e+05 -4.1617973294066056e+05
7.3558568360621575e+05 -3.3131867831315188e+05
7.3558568360621575e+05 3.3131867831315188e+05
7.4754060514898272e+05 -3.0339084740577597e+05
7.4754060514898272e+05 3.0339084740577597e+05
-8.0517628973308974e+05 5.0595468100840197e+04
-8.0517628973308974e+05 -5.0595468100840197e+04
5.7941263385643647e+05 5.6138359079009970e+05
5.7941263385643647e+05 -5.6138359079009970e+05
7.4851138323947322e+05 -3.0102760592562531e+05
7.4851138323947322e+05 3.0102760592562531e+05
6.9248165739523026e+05 4.1396559418953722e+05
6.9248165739523026e+05 -4.1396559418953722e+05
-8.0534719831791101e+05 4.8142762298033129e+04
-8.0534719831791101e+05 -4.8142762298033129e+04
7.4947373005092284e+05 -2.9865907299850252e+05
7.4947373005092284e+05 2.9865907299850252e+05
7.3457588291489298e+05 3.3365328561861621e+05
7.3457588291489298e+05 -3.3365328561861621e+05
7.5042747875742230e+05 -2.9628573732371343e+05
7.5042747875742230e+05 2.9628573732371343e+05
5.7766063973169355e+05 5.6323823366650939e+05
5.7766063973169355e+05 -5.6323823366650939e+05
-8.0550891115757078e+05 -4.5687520155701721e+04
-8.0550891115757078e+05 4.5687520155701721e+04
7.5137257680017280e+05 2.9390812946454069e+05
7.5137257680017280e+05 -2.9390812946454069e+05
6.9384085323307535e+05 4.1174755782076711e+05
6.9384085323307535e+05 -4.1174755782076711e+05
-5.3124020212659356e+05 6.0723731382265582e+05
-5.3124020212659356e+05 -6.0723731382265582e+05
7.5230901777949161e+05 -2.9152657129550149e+05
7.5230901777949161e+05 2.9152657129550149e+05
-8.0566154866174515e+05 -4.3229955575423410e+04
-8.0566154866174515e+05 4.3229955575423410e+04
7.5323684929037793e+05 2.8914145680987620e+05
7.5323684929037793e+05 -2.8914145680987620e+05
7.5415613641065662e+05 2.8675298936154437e+05
7.5415613641065662e+05 -2.8675298936154437e+05
-8.0580523928975710e+05 4.0770232374681196e+04
-8.0580523928975710e+05 -4.0770232374681196e+04
7.5506696237603121e+05 -2.8436146632609685e+05
7.5506696237603121e+05 2.8436146632609685e+05
5.7590480879133125e+05 5.6508985744835017e+05
5.7590480879133125e+05 -5.6508985744835017e+05
7.5596942893694947e+05 -2.8196701309143868e+05
7.5596942893694947e+05 2.8196701309143868e+05
7.3355591559217614e+05 3.3599311058276356e+05
7.3355591559217614e+05 -3.3599311058276356e+05
7.5686363486761902e+05 -2.7956985887107934e+05
7.5686363486761902e+05 2.7956985887107934e+05
6.9519219240276492e+05 -4.0952539328030415e+05
6.9519219240276492e+05 4.0952539328030415e+05
-8.0594006322261016e+05 3.8308514734334269e+04
-8.0594006322261016e+05 -3.8308514734334269e+04
7.5774970871247561e+05 2.7717006854376046e+05
7.5774970871247561e+05 -2.7717006854376046e+05
7.5862776120645460e+05 -2.7476781008050527e+05
7.5862776120645460e+05 2.7476781008050527e+05
7.5949793113302439e+05 -2.7236309128589858e+05
7.5949793113302439e+05 2.7236309128589858e+05
7.6036033852926176e+05 2.6995601393433480e+05
7.6036033852926176e+05 -2.6995601393433480e+05
-8.0606612076916988e+05 3.5844988079749986e+04
-8.0606612076916988e+05 -3.5844988079749986e+04
7.6121511062524642e+05 2.6754652225048846e+05
7.6121511062524642e+05 -2.6754652225048846e+05
7.6206235014560330e+05 2.6513465166572679e+05
7.6206235014560330e+05 -2.6513465166572679e+05
7.6290215082249639e+05 2.6272027754320961e+05
7.6290215082249639e+05 -2.6272027754320961e+05
-8.0618348841990519e+05 3.3379765740426694e+04
-8.0618348841990519e+05 -3.3379765740426694e+04
7.7799315911502042e+05 2.1394763608851019e+05
7.7799315911502042e+05 -2.1394763608851019e+05
7.6373454802414915e+05 2.6030338542316266e+05
7.6373454802414915e+05 -2.6030338542316266e+05
7.7732022361810831e+05 -2.1638781133066080e+05
7.7732022361810831e+05 2.1638781133066080e+05
7.7866207169899601e+05 -2.1151212808239495e+05
7.7866207169899601e+05 2.1151212808239495e+05
6.9653556809927570e+05 4.0729893182314129e+05
6.9653556809927570e+05 -4.0729893182314129e+05
7.6455958352590096e+05 2.5788380975762659e+05
7.6455958352590096e+05 -2.5788380975762659e+05
7.7664106002608873e+05 2.1883220475386328e+05
7.7664106002608873e+05 -2.1883220475386328e+05
5.7414426247615635e+05 5.6693942430033581e+05
5.7414426247615635e+05 -5.6693942430033581e+05
-8.0629223037456279e+05 -3.0913031325147866e+04
-8.0629223037456279e+05 3.0913031325147866e+04
7.6537719582704280e+05 -2.5546150829244161e+05
7.6537719582704280e+05 2.5546150829244161e+05
7.3252452109593607e+05 3.3833647630147875e+05
7.3252452109593607e+05 -3.3833647630147875e+05
7.7595396186737646e+05 2.2127992688312469e+05
7.7595396186737646e+05 -2.2127992688312469e+05
7.7932969881240127e+05 -2.0908060873636199e+05
7.7932969881240127e+05 2.0908060873636199e+05
7.6618734136383503e+05 -2.5303632042002192e+05
7.6618734136383503e+05 2.5303632042002192e+05
-8.0639240669901448e+05 2.8444883738287415e+04
-8.0639240669901448e+05 -2.8444883738287415e+04
7.6698987186441477e+05 2.5060823659410907e+05
7.6698987186441477e+05 -2.5060823659410907e+05
7.7525798220786895e+05 2.2372977497518214e+05
7.7525798220786895e+05 -2.2372977497518214e+05
7.6778466211372102e+05 2.4817713067779609e+05
7.6778466211372102e+05 -2.4817713067779609e+05
7.7455252780416387e+05 2.2618072343658376e+05
7.7455252780416387e+05 -2.2618072343658376e+05
-8.0648407722996827e+05 -2.5975494206771145e+04
-8.0648407722996827e+05 2.5975494206771145e+04
7.6857148217979900e+05 -2.4574307399971710e+05
7.6857148217979900e+05 2.4574307399971710e+05
7.7383745185863390e+05 -2.2863175111798794e+05
7.7383745185863390e+05 2.2863175111798794e+05
7.6935016186250886e+05 2.4330602999911198e+05
7.6935016186250886e+05 -2.4330602999911198e+05
7.7012042206496571e+05 -2.4086615756112628e+05
7.7012042206496571e+05 2.4086615756112628e+05
7.7311269726678263e+05 -2.3108214383391003e+05
7.7311269726678263e+05 2.3108214383391003e+05
7.7999841817310429e+05 2.0665122263210799e+05
7.7999841817310429e+05 -2.0665122263210799e+05
-8.0656727992290584e+05 2.3504946101458299e+04
-8.0656727992290584e+05 -2.3504946101458299e+04
6.9787091428024322e+05 4.0506796213219024e+05
6.9787091428024322e+05 -4.0506796213219024e+05
7.7088206276371458e+05 -2.3842355006713327e+05
7.7088206276371458e+05 2.3842355006713327e+05
7.7237843173052941e+05 2.3353119727876427e+05
7.7237843173052941e+05 -2.3353119727876427e+05
7.7163480158152222e+05 -2.3597848389209833e+05
7.7163480158152222e+05 2.3597848389209833e+05
-8.0664205570406839e+05 -2.1033402927538475e+04
-8.0664205570406839e+05 2.1033402927538475e+04
-8.0670844993078383e+05 -1.8560946938977668e+04
-8.0670844993078383e+05 1.8560946938977668e+04
7.3148108064365434e+05 3.4068190869707963e+05
7.3148108064365434e+05 -3.4068190869707963e+05
-8.0676647463468730e+05 -1.6087715005227363e+04
-8.0676647463468730e+05 1.6087715005227363e+04
5.7237788172103046e+05 5.6878749620709510e+05
5.7237788172103046e+05 -5.6878749620709510e+05
-8.0681617175931204e+05 1.3613806307107248e+04
-8.0681617175931204e+05 -1.3613806307107248e+04
-8.0685755234850233e+05 -1.1139332501975516e+04
-8.0685755234850233e+05 1.1139332501975516e+04
